OBJECTID,Value,Count,Litho
255,261,18.000000000000000,sspych
256,262,52.000000000000000,scpupt
257,263,8.000000000000000,scmxbs
258,264,91.000000000000000,smmxpt
259,265,77.000000000000000,sslacl
260,266,83.000000000000000,vbpypr
261,268,26.000000000000000,vbpycl
262,269,2019.000000000000000,smds__
263,270,44.000000000000000,ssshgl
264,271,60.000000000000000,vbpysu
265,272,7.000000000000000,vbpych
266,273,52.000000000000000,ssssbs
267,275,270.000000000000000,smpypt
268,277,102.000000000000000,mtpych
269,278,31.000000000000000,paam__
270,279,1975.000000000000000,scpymt
271,280,2.000000000000000,sumxch
272,281,165.000000000000000,scad__
273,282,7878.000000000000000,suor__
274,283,43.000000000000000,sspysr
275,284,170.000000000000000,vi__we
276,285,3915.000000000000000,supyvr
277,286,2633.000000000000000,sussgl
278,287,175.000000000000000,smshfe
279,288,100.000000000000000,mtgrch
280,289,5.000000000000000,pbamvr
281,290,846.000000000000000,scshfe
282,291,249.000000000000000,viammt
283,292,591.000000000000000,scammt
284,293,1326.000000000000000,scssev
285,294,792.000000000000000,supygl
286,295,8.000000000000000,pymxsr
287,296,1453.000000000000000,scmxcl
288,297,368.000000000000000,scssmt
289,298,4.000000000000000,sslawe
290,299,4077.000000000000000,scpuev
291,300,10.000000000000000,evshbs
292,301,9.000000000000000,evsh__
293,302,207.000000000000000,sussvr
294,303,143.000000000000000,sussch
295,304,810.000000000000000,evmx__
296,305,9.000000000000000,evss__
297,306,3397.000000000000000,suadev
298,307,1053.000000000000000,sushcl
299,308,198.000000000000000,mtgrvr
300,310,40.000000000000000,ssshph
301,312,174.000000000000000,py__ev
302,313,41.000000000000000,pa__sr
303,314,27.000000000000000,vb__fe
304,316,80.000000000000000,vipyfe
305,317,6.000000000000000,vi__fe
306,318,134.000000000000000,pa__fe
307,322,1.000000000000000,mt__su
308,323,1.000000000000000,scpufe
309,325,630.000000000000000,vipusr
310,327,57.000000000000000,scpubs
311,328,2332.000000000000000,vbpyfe
312,329,541.000000000000000,vapyfe
313,330,228.000000000000000,scmxfe
314,331,186.000000000000000,smssfe
315,332,19.000000000000000,evpupt
316,333,4128.000000000000000,sslogl
317,334,329.000000000000000,smgrpr
318,335,118.000000000000000,vbpumt
319,336,10.000000000000000,pigrmt
320,337,4453.000000000000000,mtpuvr
321,338,1.000000000000000,vbgrsr
322,339,2.000000000000000,vbpuev
323,340,182.000000000000000,pymx__
324,341,8.000000000000000,pyssvr
325,342,2.000000000000000,pymxch
326,343,2.000000000000000,pymxmt
327,344,1521.000000000000000,pypuvr
328,345,492.000000000000000,vipu__
329,346,51.000000000000000,pysh__
330,347,37.000000000000000,mtsh__
331,348,6.000000000000000,ev__sr
332,349,197.000000000000000,scpybs
333,350,73.000000000000000,supubs
334,351,183.000000000000000,pypu__
335,352,8.000000000000000,pymxsu
336,353,946.000000000000000,suadcl
337,354,3349.000000000000000,supugl
338,355,118.000000000000000,vipuch
339,356,1292.000000000000000,scpuph
340,357,7351.000000000000000,sussev
341,358,1140.000000000000000,evpuch
342,360,169.000000000000000,mtambs
343,361,70.000000000000000,vbamsr
344,363,9.000000000000000,sumxbs
345,364,149.000000000000000,py__we
346,365,66.000000000000000,pb__we
347,366,21.000000000000000,smpywe
348,367,76.000000000000000,mtpuph
349,368,105.000000000000000,scsscl
350,369,131.000000000000000,scshph
351,370,53.000000000000000,vbmxsr
352,371,1495.000000000000000,pypusr
353,372,121.000000000000000,vbpuwe
354,373,509.000000000000000,vapubs
355,374,1394.000000000000000,scshcl
356,375,13.000000000000000,scshwe
357,376,241.000000000000000,smsswe
358,377,97.000000000000000,vbmxcl
359,378,843.000000000000000,scshpr
360,379,82.000000000000000,smshph
361,380,305.000000000000000,vipuwe
362,381,169.000000000000000,vbpucl
363,382,2.000000000000000,scpygl
364,383,1.000000000000000,mtpywe
365,384,9.000000000000000,papy__
366,385,18.000000000000000,scpywe
367,386,17.000000000000000,scpuwe
368,387,74.000000000000000,scpucl
369,388,39.000000000000000,scpupr
370,389,94.000000000000000,sspywe
371,390,1537.000000000000000,scpycl
372,391,16.000000000000000,mtamwe
373,392,113.000000000000000,sushvr
374,393,13146.000000000000000,smshsu
375,394,26.000000000000000,sumxsr
376,395,9019.000000000000000,smpysu
377,396,821.000000000000000,py__cl
378,397,2.000000000000000,vipuev
379,398,3937.000000000000000,sushsr
380,399,624.000000000000000,sulogl
381,400,353.000000000000000,susscl
382,401,1886.000000000000000,suorgl
383,402,1450.000000000000000,sspysu
384,403,237.000000000000000,scpyev
385,404,70.000000000000000,scpysu
386,405,57.000000000000000,pi__we
387,406,57.000000000000000,vipumt
388,407,70.000000000000000,suorvr
389,408,2750.000000000000000,va__cl
390,409,8.000000000000000,papysr
391,410,24.000000000000000,vi__cl
392,412,19.000000000000000,susssr
393,413,1.000000000000000,sulopr
394,414,12.000000000000000,vapuwe
395,415,24.000000000000000,sclo__
396,416,40.000000000000000,scmxwe
397,417,1.000000000000000,smpypr
398,418,7.000000000000000,smlovr
399,419,4.000000000000000,pbpumt
400,420,53.000000000000000,vapywe
401,421,7.000000000000000,scsswe
402,423,17528.000000000000000,suloev
403,424,165.000000000000000,mtgrfe
404,425,1.000000000000000,viam__
405,426,6.000000000000000,vb__bs
406,427,129.000000000000000,scmxgl
407,428,8.000000000000000,sussfe
408,429,318.000000000000000,supyev
409,431,70.000000000000000,mtpycl
410,432,12.000000000000000,mt__cl
411,433,5.000000000000000,pyshvr
412,434,2.000000000000000,smorbs
